Date,soy_usd,usdbrl
2011-08-31,1449.0,1.5865000486373901
2011-09-01,1424.75,1.5824999809265137
2011-09-02,1436.0,1.5989999771118164
2011-09-06,1413.5,1.6492999792099
2011-09-07,1411.0,1.659999966621399
2011-09-08,1407.25,1.653499960899353
2011-09-09,1416.5,1.6516000032424927
2011-09-12,1387.5,1.6749000549316406
2011-09-13,1381.25,1.7035000324249268
2011-09-14,1374.0,1.7115000486373901
2011-09-15,1358.75,1.7239999771118164
2011-09-16,1355.5,1.7091000080108643
2011-09-19,1336.0,1.7105000019073486
2011-09-20,1338.0,1.784600019454956
2011-09-21,1320.5,1.791599988937378
2011-09-22,1283.0,1.833899974822998
2011-09-23,1258.0,1.8767999410629272
2011-09-26,1259.75,1.8558000326156616
2011-09-27,1263.0,1.8459999561309814
2011-09-28,1223.5,1.8020000457763672
2011-09-29,1230.0,1.8177000284194946
2011-09-30,1179.0,1.8277000188827515
2011-10-03,1177.5,1.847000002861023
2011-10-04,1160.0,1.8876999616622925
2011-10-05,1163.75,1.850100040435791
2011-10-06,1163.75,1.8336999416351318
2011-10-07,1158.25,1.8066999912261963
2011-10-10,1177.5,1.7623000144958496
2011-10-11,1235.5,1.746899962425232
2011-10-12,1239.5,1.738800048828125
2011-10-13,1257.0,1.7740000486373901
2011-10-14,1270.0,1.7431000471115112
2011-10-17,1253.0,1.7307000160217285
2011-10-18,1250.75,1.7669999599456787
2011-10-19,1225.0,1.7575000524520874
2011-10-20,1225.0,1.761299967765808
2011-10-21,1212.25,1.7869999408721924
2011-10-24,1226.75,1.7676000595092773
2011-10-25,1225.5,1.7493000030517578
2011-10-26,1210.5,1.7615000009536743
2011-10-27,1235.0,1.7580000162124634
2011-10-28,1217.0,1.7089999914169312
2011-10-31,1207.5,1.6871000528335571
2011-11-01,1192.25,1.6923999786376953
2011-11-02,1193.5,1.7419999837875366
2011-11-03,1219.25,1.733299970626831
2011-11-04,1212.5,1.7315000295639038
2011-11-07,1192.25,1.7489999532699585
2011-11-08,1195.25,1.749899983406067
2011-11-09,1175.75,1.7395000457763672
2011-11-10,1158.0,1.756600022315979
2011-11-11,1166.0,1.7599999904632568
2011-11-14,1172.0,1.73989999294281
2011-11-15,1200.25,1.7595000267028809
2011-11-16,1187.75,1.7692999839782715
2011-11-17,1168.25,1.770300030708313
2011-11-18,1168.25,1.7645000219345093
2011-11-21,1148.0,1.7777999639511108
2011-11-22,1153.0,1.8042000532150269
2011-11-23,1122.5,1.8116999864578247
2011-11-25,1106.5,1.875499963760376
2011-11-28,1121.0,1.8803000450134277
2011-11-29,1125.0,1.854699969291687
2011-11-30,1131.25,1.8415000438690186
2011-12-01,1128.0,1.8079999685287476
2011-12-02,1135.75,1.7990000247955322
2011-12-05,1126.25,1.795199990272522
2011-12-06,1129.5,1.7796000242233276
2011-12-07,1131.0,1.7910000085830688
2011-12-08,1132.5,1.798699975013733
2011-12-09,1107.0,1.8170000314712524
2011-12-12,1112.0,1.7972999811172485
2011-12-13,1118.5,1.8092000484466553
2011-12-14,1100.0,1.857699990272522
2011-12-15,1111.75,1.8762999773025513
2011-12-16,1130.0,1.8588000535964966
2011-12-19,1137.0,1.8530000448226929
2011-12-20,1144.5,1.8665000200271606
2011-12-21,1153.75,1.8417999744415283
2011-12-22,1162.25,1.855299949645996
2011-12-23,1163.0,1.8509999513626099
2011-12-27,1199.75,1.8574999570846558
2011-12-28,1198.25,1.8600000143051147
2011-12-29,1187.5,1.8767000436782837
2011-12-30,1198.5,1.8652000427246094
2012-01-03,1218.25,1.8701000213623047
2012-01-04,1221.5,1.8344999551773071
2012-01-05,1201.25,1.8184000253677368
2012-01-06,1189.5,1.843000054359436
2012-01-09,1225.75,1.847599983215332
2012-01-10,1223.75,1.840999960899353
2012-01-11,1197.5,1.7990000247955322
2012-01-12,1178.5,1.8035000562667847
2012-01-13,1160.0,1.780900001525879
2012-01-17,1183.5,1.7792999744415283
2012-01-18,1183.5,1.7795000076293945
2012-01-19,1197.0,1.7683000564575195
2012-01-20,1187.0,1.7554999589920044
2012-01-23,1217.5,1.76010000705719
2012-01-24,1220.0,1.7519999742507935
2012-01-25,1213.5,1.7583999633789062
2012-01-26,1222.75,1.7599999904632568
2012-01-27,1219.0,1.8524999618530273
2012-01-30,1185.25,1.7380000352859497
2012-01-31,1199.0,1.7462999820709229
2012-02-01,1215.25,1.7447999715805054
2012-02-02,1217.0,1.7316999435424805
2012-02-03,1232.5,1.7180999517440796
2012-02-06,1233.0,1.7152999639511108
2012-02-07,1232.0,1.7237000465393066
2012-02-08,1231.5,1.7246999740600586
2012-02-09,1227.5,1.718400001525879
2012-02-10,1229.0,1.715499997138977
2012-02-13,1252.0,1.7187999486923218
2012-02-14,1255.0,1.7151999473571777
2012-02-15,1261.0,1.7160999774932861
2012-02-16,1258.25,1.7276999950408936
2012-02-17,1267.5,1.715499997138977
2012-02-21,1271.0,1.7172000408172607
2012-02-22,1272.25,1.7144999504089355
2012-02-23,1276.75,1.7051000595092773
2012-02-24,1279.0,1.7128000259399414
2012-02-27,1293.75,1.7065999507904053
2012-02-28,1305.25,1.705899953842163
2012-02-29,1313.5,1.697700023651123
2012-03-01,1316.75,1.716599941253662
2012-03-02,1328.25,1.7135000228881836
2012-03-05,1319.25,1.7293000221252441
2012-03-06,1329.75,1.7378000020980835
2012-03-07,1321.5,1.7592999935150146
2012-03-08,1332.5,1.7657999992370605
2012-03-09,1331.75,1.761299967765808
2012-03-12,1330.5,1.7891000509262085
2012-03-13,1348.75,1.798799991607666
2012-03-14,1356.0,1.7913000583648682
2012-03-15,1369.0,1.8034000396728516
2012-03-16,1374.0,1.799399971961975
2012-03-19,1366.5,1.7975000143051147
2012-03-20,1345.0,1.8207000494003296
2012-03-21,1355.0,1.8141000270843506
2012-03-22,1349.5,1.819200038909912
2012-03-23,1365.75,1.8180999755859375
2012-03-26,1379.5,1.8092999458312988
2012-03-27,1369.75,1.8171000480651855
2012-03-28,1367.5,1.8212000131607056
2012-03-29,1355.5,1.8234000205993652
2012-03-30,1403.0,1.8207999467849731
2012-04-02,1421.0,1.825700044631958
2012-04-03,1416.75,1.832800030708313
